Genomic Position Start,Genomic Position End,Gene/Locus And Other Related Symbols,Gene Name,Phenotypes,MOI
11598470,11969748,"DNAH9, DNAH17L, DNEL1, CILD40","Dynein, axonemal, heavy chain 9","Ciliary dyskinesia, primary, 40, 618300 (3), Autosomal recessive",AR
11977439,12021527,"ZNF18, KOX11",Zinc finger protein-18 (KOX11),,
12020877,12143828,"SERK1, PRKMK4, MAPKK4, JNKK1",SAPK/ERK kinase-1,,
12665890,12768949,"MYOCD, MGBL",Myocardin,"Megabladder, congenital, 618719 (3), Autosomal dominant",AD
12789498,12991643,"ARHGAP44, RICH2, KIAA0672",RHO GTPase-activating protein 44,,
12991612,13018027,"ELAC2, HPC2, COXPD17",elaC ribonuclease Z 2,"{Prostate cancer, hereditary, 2, susceptibility to}, 614731 (3); Combined oxidative phosphorylation deficiency 17, 615440 (3), Autosomal recessive",AR
13494032,13601929,"HS3ST3A1, 30ST3A1",Heparan sulfate-glucosamine 3-sulfotransferase 3A1,,
14069504,14208677,"COX10, MC4DN3","Cytochrome c oxidase, subunit X","Mitochondrial complex IV deficiency, nuclear type 3, 619046 (3), Autosomal recessive",AR
14301081,14349404,"HS3ST3B1, 30ST3B1",Heparan sulfate-glucosamine 3-sulfotransferase 3B1,,
15229779,15265326,"PMP22, CMT1A, CMT1E, DSS, CIDP",Peripheral myelin protein-22,"Charcot-Marie-Tooth disease, type 1A, 118220 (3), Autosomal dominant; Roussy-Levy syndrome, 180800 (3), Autosomal dominant; Charcot-Marie-Tooth disease, type 1E, 118300 (3), Autosomal dominant; ?Neuropathy, inflammatory demyelinating, 139393 (3), ?Autosomal dominant; Neuropathy, recurrent, with pressure palsies, 162500 (3), Autosomal dominant; Dejerine-Sottas disease, 145900 (3), Autosomal recessive, Autosomal dominant",AD/AR
15303812,15343671,"TEKT3, SPGF81",Tektin 3,"Spermatogenic failure 81, 620277 (3), Autosomal recessive",AR
15565482,15619704,"CDRT1, C17orf1A",CMT1A duplicated region transcript 1,,
15627966,15684311,"TRIM16, EBBP",Tripartite motif-containing protein 16,,
15675476,15675643,ZNF29P,"Zinc finger protein 29, pseudogene",,
15850362,15975746,ADORA2B,Adenosine A2b receptor,,
15976560,15999704,"ZSWIM7, SWS1, SPGF71, ODG10",Zinc finger SWIM domain-containing protein 7,"Spermatogenic failure 71, 619831 (3), Autosomal recessive; ?Ovarian dysgenesis 10, 619834 (3), Autosomal recessive",AR
15999824,16045015,"TTC19, MC3DN2",Tetratricopeptide repeat domain 19,"Mitochondrial complex III deficiency, nuclear type 2, 615157 (3), Autosomal recessive",AR
16029157,16215534,NCOR1,Nuclear receptor corepressor 1,,
16100001,25100000,ADHD2,"Attention deficit-hyperactivity disorder, susceptibility to, 2","{Attention deficit-hyperactivity disorder, susceptibility to, 2}, 608904 (2)",
16100001,22700000,"IS2, AIS2","Scoliosis, idiopathic 2","Scoliosis, idiopathic 2, 607354 (2)",
16100001,22700000,PTLS,Potocki-Lupski syndrome,"Potocki-Lupski syndrome, 610883 (4), Isolated cases",
16217210,16326411,"PIGL, CHIME","Phosphatidylinositol glycan, class L","CHIME syndrome, 280000 (3), Autosomal recessive",AR
16342537,16353469,"CENPV, P30",Centromere protein V,,
16380779,16382745,UBB,Ubiquitin B,,
16415571,16437003,"TRPV2, VRL1","Transient receptor potential cation channel, subfamily V, member 2",,
16666717,16777881,"CCDC144A, KIAA0565",Coiled-coil domain-containing protein 144A,,
16939081,16972118,"TNFRSF13B, TACI, CVID2","Tumor necrosis factor receptor superfamily, member 13B","Immunodeficiency, common variable, 2, 240500 (3), Autosomal recessive, Autosomal dominant; Immunoglobulin A deficiency 2, 609529 (3)",AD/AR
17042457,17192643,"MPRIP, MRIP, KIAA0864, RIP3, P116RIP",Myosin phosphatase Rho-interacting protein,,
17200995,17206333,"PLD6, ZUC","Phospholipase D family, member 6",,
17212212,17237330,"FLCN, BHD",Folliculin,"Birt-Hogg-Dube syndrome, 135150 (3), Autosomal dominant; Colorectal cancer, somatic, 114500 (3); Pneumothorax, primary spontaneous, 173600 (3), Autosomal dominant; Renal carcinoma, chromophobe, somatic, 144700 (3)",AD
17246616,17281246,"COPS3, SGN3","COP9 signalosome, subunit 3",,
17303373,17347663,"NT5M, DNT2","Deoxyribonucleotidase, mitochondrial (5' nucleotidase, mitochondrial)",,
17477000,17493221,"MED9, MED25, FLJ10193","Mediator of RNA polymerase II transcription, subunit 9, S. cerevisiae, homolog of",,
17494437,17496395,"RASD1, DEXRAS1","Ras protein, dexamethasone-induced, 1",,
17505563,17592142,"PEMT, PEMPT",Phosphatidylethanolamine N-methyltransferase,,
17681458,17811453,"RAI1, SMCR, SMS",Retinoic acid-induced gene 1,"Smith-Magenis syndrome, 182290 (3), Isolated cases, Autosomal dominant",AD
17811334,17836986,"SREBF1, IFAP2, HMD",Sterol regulatory element binding transcription factor 1,"Ichthyosis, follicular, with atrichia and photophobia syndrome 2, 619016 (3), Autosomal dominant; Mucoepithelial dysplasia, hereditary, 158310 (3), Autosomal dominant",AD
17813836,17813931,"MIR33B, MIRN33B",Micro RNA 33B,,
17843511,17972400,TOM1L2,Target of MYB1-like 2 membrane trafficking protein,,
17972813,18016889,"DRC3, LRRC48, CFAP134",Dynein regulatory complex subunit 3,,
18015059,18039168,"ATPAF2, ATP12, MC5DN1","ATP synthase, mitochondrial F1 complex, assembly factor 2","?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273 (3), Autosomal recessive",AR
18039408,18068405,"GID4, VID2, C17orf39","GID complex, subunit 4",,
18087948,18107969,DRG2,Developmentally regulated GTP-binding protein 2,,
18108756,18179800,"MYO15A, DFNB3",Myosin XVA,"Deafness, autosomal recessive 3, 600316 (3), Autosomal recessive",AR
18183828,18209954,"ALKBH5, ABH5","AlkB homolog 5, RNA demethylase",,
18225635,18244875,"LLGL1, DLG4",LLGL scribble cell polarity complex component 1,,
18244815,18259022,"FLII, CMD2J",FLII actin remodeling protein,"Cardiomyopathy, dilated, 2J, 620635 (3), Autosomal recessive",AR
18260662,18266552,"MEIF2, SMCR7, MID49, COXPD49",Mitochondrial elongation factor 2,"?Combined oxidative phosphorylation deficiency 49, 619024 (3), Autosomal recessive",AR
18271428,18314994,"TOP3A, MGRISCE2, PEOB5","Topoisomerase (DNA) III, alpha","?Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5, 618098 (3), Autosomal recessive; Microcephaly, growth restriction, and increased sister chromatid exchange 2, 618097 (3), Autosomal recessive",AR
18315293,18328056,SMCR8,"Smith-Magenis syndrome chromosome region, candidate gene 8",,
18327873,18363550,SHMT1,Serine hydroxymethyltransferase (soluble),,
18497090,18503285,"NOS2P2, NOS2B",Nitric oxide synthase 2 pseudogene 2,,
18667629,18682314,FOXO3B,Forkhead box O3B,,
18744054,18779349,FBXW10,F-box and WD40 domain protein 10,,
18856299,18931287,"PRPSAP2, PAP41",Phosphoribosylpyrophosphate synthetase-associated protein 2,,
18950676,19022565,"SLC5A10, SGLT5","Solute carrier family 5 (sodium/glucose cotransporter), member 10",,
18968789,19006116,"FAM83G, PAWS1","Family with sequence similarity 83, member G",,
19020656,19051373,"GRAP, DFNB114",GRB2-related adaptor protein,"Deafness, autosomal recessive 114, 618456 (3), Autosomal recessive",AR
19188016,19188232,RNU3,"RNA, U3 small nuclear",,
19334695,19377913,"B9D1, MKSR1, MKS9, JBTS27",B9 domain-containing protein 1,"?Meckel syndrome 9, 614209 (3), Autosomal recessive; Joubert syndrome 27, 617120 (3), Autosomal recessive",AR
19237366,19336715,"EPN2, KIAA1065",Epsin 2,,
19377750,19383544,"MAPK7, PRKM7, ERK5",Mitogen-activated protein kinase 7 (extracellular signal-regulated kinase 5),,
19383445,19387190,MFAP4,Microfibrillar-associated protein-4,,
19411232,19417276,"RNF112, ZNF179, BFP",RING finger protein 112,,
19533854,19579034,"SLC47A1, MATE1, FLJ10847","Solute carrier family 47, member 1",,
19648136,19677596,"ALDH3A2, ALDH10, SLS, FALDH","Aldehyde dehydrogenase 3 family, member A2 (fatty aldehyde dehydrogenase)","Sjogren-Larsson syndrome, 270200 (3), Autosomal recessive",AR
19678317,19718979,"SLC47A2, MATE2, FLJ31196, MATE2K","Solute carrier family 47, member 2",,
19737984,19748298,"ALDH3A1, ALDH3","Aldehyde dehydrogenase 3 family, member A1",,
19770830,19867936,"ULK2, KIAA0623, UNC51.2",UNC51-like kinase 2,,
19904302,19977828,AKAP10,A-kinase anchor protein 10,,
20009359,20319026,"SPECC1, HCMOGT1, NSP",Sperm antigen with calponin homology and coiled-coil domains 1,,
20999596,21043419,"USP22, KIAA1064",Ubiquitin-specific protease 22,,
21126964,21191420,"DHRS7B, SDR32C1","Short-chain dehydrogenase reductase family, member 7B",,
21197954,21214161,TMEM11,Transmembrane protein 11,,
21284711,21315240,"PRKMK3, MAPKK3, MEK3","Protein kinase, mitogen-activated, kinase-3",,
21376357,21419870,"KCNJ12, KCNJN1","Potassium inwardly-rectifying channel, subfamily J, member 12",,
21692523,21704612,"KCNJ18, KIR2.6, TTPP2","Potassium channel, inwardly rectifying, subfamily J, member 18","{Thyrotoxic periodic paralysis, susceptibility to, 2}, 613239 (3), Autosomal dominant",AD
22406019,22413741,"PRG4, FLJ36000",p53-responsive gene 4,,
22523415,22524663,"MTRNR2L1, HN1",MTRNR2-like 1,,
25100001,33500000,AUTS6,"Autism, susceptibility to, 6","{Autism susceptibility 6}, 609378 (2)",
25100001,33500000,"ERVE1, HERVE1","Endogenous retroviral sequence E, 1",,
25100001,83257441,HYT1,"Hypertension, essential, susceptibility to, 1","{Hypertension, essential, susceptibility to, 1}, 145500 (2), Multifactorial",
27294114,27315926,"WSB1, SWIP1",WD repeat- and SOCS box-containing protein 1,,
27400001,33500000,"CCL3L1, SCYA3L1, LD78","Chemokine, C-C motif, ligand 3-like 1","{HIV/AIDS, susceptibility to}, 609423 (3)",
27400001,33500000,"DEL17q11.2, C17DELq11.2","Chromosome 17q11.2 deletion syndrome, 1.4Mb (NF1 microdeletion syndrome)","Chromosome 17q11.2 deletion syndrome, 1.4Mb, 613675 (4), Autosomal dominant",AD
27400001,33500000,"DUP17q11.2, C17DUPq11.2","Chromosome 17q11.2 duplication syndrome, 1.4-Mb","Chromosome 17q11.2 duplication syndrome, 1.4-Mb, 618874 (4), Isolated cases, Autosomal dominant",AD
27400001,72900000,MHS2,Malignant hyperthermia susceptibility 2,"{Malignant hyperthermia susceptibility 2}, 154275 (2), Autosomal dominant",AD
27400001,33500000,MPVQTL3,Mean platelet volume quantitative trait locus 3,"[Mean platelet volume QTL3], 612575 (2)",
27456448,27626435,"KSR, KSR1",Kinase suppressor of RAS,,
27631188,27649560,LGALS9,"Lectin, galactoside-binding, soluble, 9",,
27756766,27800529,"NOS2A, NOS2",Nitric oxide synthase 2A,"{Malaria, resistance to}, 611162 (3)",
28042677,28206074,NLK,NEMO-like kinase,,
28226563,28228060,PYY2,"Peptide YY, 2",,
28247444,28248289,PPY2,Pancreatic polypeptide 2,,
28319200,28328685,"TMEM97, MAC30",Transmembrane protein 97,,
28328326,28335472,IFT20,Intraflagellar transport 20,,
28335761,28347009,TNFAIP1,"Tumor necrosis factor, alpha-induced protein-1 (endothelial)",,
28346633,28357527,"POLDIP2, PDIP38",Polymerase delta-interacting protein 2,,
28357647,28363683,"TMEM199, VMA12, VPH2, C17orf32, CDG2P",Transmembrane protein 199,"Congenital disorder of glycosylation, type IIp, 616829 (3), Autosomal recessive",AR
28363506,28365199,"SEBOX, OG9","Skin-, embryo-, brain-, and oocyte-specific homeobox",,
28367284,28370307,"VTN, VNT","Vitronectin (serum spreading factor, somatomedin B, complement S-protein)",,
28371694,28404049,"SARM, KIAA0524",Sterile alpha and heat/armadillo motifs-containing protein,,
28394642,28406592,"SLC46A1, HCP1, PCFT","Solute carrier family 46 (folate transporter), member 1","Folate malabsorption, hereditary, 229050 (3), Autosomal recessive",AR
28473644,28497781,"SLC13A2, NADC1","Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2",,
28506348,28538900,"FOXN1, WHN, TIDAND, TLIND",Forkhead box N1 (winged helix nude),"T-cell lymphopenia, infantile, with or without nail dystrophy, autosomal dominant, 618806 (3), Autosomal dominant; T-cell immunodeficiency, congenital alopecia, and nail dystrophy, 601705 (3), Autosomal recessive",AD/AR
28546707,28552628,"UNC119, HRG4, IMD13, CORD24",unc-119 lipid binding chaperone,"Cone-rod dystrophy 24, 620342 (3), Autosomal dominant; ?Immunodeficiency 13, 615518 (3), Autosomal dominant",AD
28553387,28571524,"PIGS, GPIBD18, DEE95","Phosphatidylinositol glycan, class S","Developmental and epileptic encephalopathy 95, 618143 (3), Autosomal recessive",AR
28573120,28576895,ALDOC,"Aldolase C, fructose-bisphosphatase",,
28577574,28599025,"SPAG5, MAP126, ASTRIN",Sperm-associated antigen 5,,
28614440,28645159,"KIAA0100, BCOX1",KIAA0100 gene,,
28648346,28662194,SDF2,Stromal cell-derived factor-2,,
28662205,28702679,SUPT6H,"SPT6 homolog, histone chaperone and transcription elongation factor",,
28703197,28711888,PROCA1,Proline-rich cyclin A1-interacting protein,,
28714281,28718428,"RAB34, RAH",Ras-associated protein 34,,
28719985,28724359,RPL23A,Ribosomal protein L23a,,
28728788,28743455,"NEK8, JCK, NPHP9, RHPD2",NIMA-related kinase 8,"Renal-hepatic-pancreatic dysplasia 2, 615415 (3), Autosomal recessive; ?Nephronophthisis 9, 613824 (3)",AR
28744011,28750956,"TRAF4, MLN62, CART1",TNF receptor-associated factor 4,,
28855016,28861061,"ERAL1, ERAL1A, ERAL1B, PRLTS6",ERA G-protein-like 1,"Perrault syndrome 6, 617565 (3), Autosomal recessive",AR
28861369,28861440,"MIR451, MIRN451",Micro RNA 451,,
28861533,28861618,"MIR144, MIRN144",Micro RNA 144,,
28879339,28897733,"FLOT2, M17S1, ECS1, ESA1",Flotillin 2 (epidermal surface antigen 1),,
28897781,28903079,"DHRS13, SDR7C5","Short-chain dehydrogenase reductase family, member 13",,
28905250,28951518,"PHF12, PF1",PHD finger protein 12,,
28954905,29006440,"SEZ6, BSRPC","Seizure-related 6, mouse, homolog of",,
29043141,29057216,PIPOX,Pipecolic acid oxidase,,
29071122,29180398,"MYO18A, SPR210",Myosin XVIIIA,,
29071122,29180398,"TIAF1, MYO18A, MYSPDZ, MAJN, SPR210, KIAA0216",TGFB1-induced antiapoptotic factor 1,,
29246859,29254494,"CRYBA1, CRYB1, CTRCT10","Crystallin, beta A1","Cataract 10, multiple types, 600881 (3), Autosomal dominant",AD
29255839,29294148,"NUFIP2, KIAA1321, PIG1",Nuclear FMR1 interacting protein 2,,
29390363,29551903,"TAOK1, PSK2, TAO1, MARKK, DDIB",TAO kinase 1,"Developmental delay with or without intellectual impairment or behavioral abnormalities, 619575 (3), Autosomal dominant",AD
29560547,29567037,ABHD15,Abhydrolase domain-containing protein 15,,
29573475,29589648,GIT1,GIT ArfGap 1,,
29593132,29614761,ANKRD13B,Ankyrin repeat domain-containing protein 13B,,
29625938,29930228,"SSH2, KIAA1725","Slingshot, Drosophila, homolog of, 2",,
30116816,30186475,"NSRP1, NSRP70, CCDC55, NEDSSBA",Nuclear speckle splicing regulatory protein 1,"Neurodevelopmental disorder with spasticity, seizures, and brain abnormalities, 620001 (3), Autosomal recessive",AR
30194319,30235697,"SLC6A4, HTT, OCD1","Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4","{Obsessive-compulsive disorder}, 164230 (3), Autosomal dominant; {Anxiety-related personality traits}, 607834 (3)",AD
30248203,30291944,"BLMH, BMH",Bleomycin hydrolase,,
30378927,30469989,CPD,Carboxypeptidase D,,
30477408,30527592,"GOSR1, GOS28, GS28",Golgi snap receptor complex member 1,,
30782684,30824692,"CRLF3, CYTOR4, CRLM9, CREME9",Cytokine receptor-like factor 3,,
30831966,30895869,"ATAD5, C17orf41, FRAG1, FLJ12735","ATPase family, AAA domain containing 5",,
30898986,30906238,"TEFM, C17orf42, COXPD58","Transcription elongation factor, mitochondrial","Combined oxidative phosphorylation deficiency 58, 620451 (3), Autosomal recessive",AR
30921945,30959322,"ADAP2, CENTA2",ArfGAP with dual PH domains 2,,
30958921,30999911,RNF135,Ring finger protein 135,,
31094927,31377677,"NF1, VRNF, WSS, NFNS","Neurofibromin (neurofibromatosis, type I)","Watson syndrome, 193520 (3), Autosomal dominant; Leukemia, juvenile myelomonocytic, 607785 (3), Somatic mutation, Autosomal dominant; Neurofibromatosis, familial spinal, 162210 (3), Autosomal dominant; Neurofibromatosis, type 1, 162200 (3), Autosomal dominant; Neurofibromatosis-Noonan syndrome, 601321 (3), Autosomal dominant",AD
31294647,31297239,"OMG, OMGP",Oligodendrocyte-myelin glycoprotein,,
31303770,31314054,"EVI2B, EVDB",Ecotropic viral integration site 2B,,
31316410,31321622,"EVI2A, EVI2, EVDA",Ecotropic viral integration site 2A,,
31391675,31538211,"RAB11FIP4, KIAA1821",RAB11 family-interacting protein 4,,
31559996,31560083,MIR193A,Micro RNA 193A,,
31937007,32001038,"SUZ12, JJAZ1, KIAA0160, IMMAS",SUZ12 polycomb repressive complex 2 subunit,"Imagawa-Matsumoto syndrome, 618786 (3), Autosomal dominant",AD
32007383,32053487,LRRC37B,Leucine-rich repeat-containing protein 37B,,
32142502,32225727,"RHOT1, MIRO1, ARHT1","Ras homolog gene family, member T1",,
32265832,32324661,"RHBDL3, VRHO",Rhomboid-like 3,,
32350157,32381885,ZNF207,Zinc finger protein-207,,
32444510,32483319,"PSMD11, S9","Proteasome 26S subunit, non-ATPase, 11",,
32486993,32491253,"CDK5R1, p35","Cyclin-dependent kinase 5, regulatory subunit 1",,
32492522,32877124,"MYO1D, KIAA0727",Myosin ID,,
32928153,32944315,"TMEM98, NNO4",Transmembrane protein 98,"Nanophthalmos 4, 615972 (3), Autosomal dominant",AD
32991847,32997877,"SPACA3, LYZL3, SLLP1, LYC3, ALLP17",Sperm acrosome-associated 3,,
33013087,34156768,"ACCN1, BNC1, MDEG","Amiloride-sensitive cation channel 1, neuronal (degenerin)",,
33500001,39800000,"CCL3P1, CCL3L2","Chemokine, CC motif, ligane 3, pseudogene 1",,
33500001,39800000,"CCL4L, SCYA4L, LAG1","Chemokine, C-C motif, ligand 4-like",,
33500001,39800000,"DEL17q12, C17DELq12",Chromosome 17q12 deletion syndrome,"Chromosome 17q12 deletion syndrome, 614527 (4), Autosomal dominant",AD
33500001,39800000,"DUP17q12, C17DUPq12",Chromosome 17q12 duplication syndrome,"Chromosome 17q12 duplication syndrome, 614526 (4), Autosomal dominant",AD
33500001,39800000,HPC11,"Prostate cancer, hereditary, 11","{Prostate cancer, hereditary, 11}, 611955 (2)",
33500001,39800000,PBC5,"Biliary cirrhosis, primary, 5","Biliary cirrhosis, primary, 5, 614221 (2)",
33500001,52100000,WT4,Wilms tumor-4,"Wilms tumor, type 4, 601363 (2), Autosomal dominant",AD
34255285,34257203,"CCL2, SCYA2, MCP1, MCAF","Small inducible cytokine A2 (monocyte chemotactic protein, homologous to mouse Sig-je)","{Mycobacterium tuberculosis, susceptibility to}, 607948 (3); {HIV-1, resistance to}, 609423 (3); {Coronary artery disease, modifier of} (3); {Spina bifida, susceptibility to}, 182940 (3), Autosomal dominant",AD
34270221,34272242,"CCL7, SCYA7, MCP3","Chemokine, C-C motif, ligand 5",,
34285742,34288334,"CCL11, SCYA11","Chemokine, C-C motif, ligand 11","{Asthma, susceptibility to}, 600807 (3), Autosomal dominant; {HIV1, resistance to}, 609423 (3)",AD
34319435,34321402,"CCL8, SCYA8","Chemokine, C-C motif, ligand 8",,
34356480,34358610,"CCL13, SCYA13, NCC1","Chemokine, C-C motif, ligand 13",,
34360328,34363233,"CCL1, SCYA1","Chemokine, C-C motif, ligand 1",,
34579582,34639318,"TMEM132E, DFNB99",Transmembrane protein 132E,"Deafness, autosomal recessive 99, 618481 (3), Autosomal recessive",AR
34927861,34961460,"CCT6B, CCTZ2","Chaperonin containing T-complex polypeptide 1, subunit 6B",,
34980512,35010872,"LIG3, MTDPS20","Ligase III, DNA, ATP-dependent","Mitochondrial DNA depletion syndrome 20 (MNGIE type), 619780 (3), Autosomal recessive",AR
35005990,35089226,RFFL,Ring finger and FYVE-like domain containing 1 (rififylin),,
35092221,35119860,"RAD51D, RAD51L3, BROVCA4",RAD51 paralog D,"{Breast-ovarian cancer, familial, susceptibility to, 4}, 614291 (3)",
35147817,35189345,"UNC45B, SMUNC45, CTRCT43, MFM11",unc-45 myosin chaperone B,"?Cataract 43, 616279 (3), Autosomal dominant; Myofibrillar myopathy 11, 619178 (3), Autosomal recessive",AD/AR
35243072,35273655,SLFN5,"Schlafen family, member 5",,
35350305,35373621,SLFN11,"Schlafen family, member 11",,
35410922,35433174,SLFN12,"Schlafen family, member 12",,
35435096,35449766,SLFN13,"Schlafen family, member 13",,
35464254,35537678,SLFN12L,"Schlafen family, member 12-like",,
35543985,35560819,"SLFN14, BDPLT20","Schlafen family, member 14","Bleeding disorder, platelet-type, 20, 616913 (3), Autosomal dominant",AD
35574795,35578571,"PEX12, PBD3A",Peroxisome biogenesis factor 12,"Peroxisome biogenesis disorder 3B, 266510 (3), Autosomal recessive; Peroxisome biogenesis disorder 3A (Zellweger), 614859 (3), Autosomal recessive",AR
35587322,35726413,"AP2B1, CLAPB1, ADTB2","Adaptor-related protein complex 2, beta 1 subunit",,
35731639,35743521,"RASL10B, RRP17","Ras-like, family 10, member B",,
35744511,35753239,"GAS2L2, GAR17, CILD41",Growth arrest-specific 2-like 2,"?Ciliary dyskinesia, primary, 41, 618449 (3), Autosomal recessive",AR
35756249,35795641,MMP28,Matrix metalloproteinase 28,,
35809484,35847242,"TAF15, TAF2N, RBP56","TAF15 RNA polymerase II, TATA box-binding protein-associated factor, 68kD","Chondrosarcoma, extraskeletal myxoid, 612237 (1)",
35871491,35880360,"CCL5, SCYA5, D17S136E, TCP228","Chemokine, C-C motif, ligand 5","{HIV-1 disease, rapid progression of}, 609423 (3); {HIV-1 disease, delayed progression of}, 609423 (3)",
35918080,35930773,RDM1,RAD52 motif-containing protein 1,,
35934518,35943713,LYZL6,Lysozyme-like 6,,
35976499,35981497,"CCL16, SCYA16, NCC4","Chemokine, C-C motif, ligand 16",,
35983288,35986729,"CCL14, SCYA14, NCC2","Chemokine, C-C motif, ligand 14",,
35997582,36001553,"CCL15, SCYA15, NCC3, LKN1","Chemokine, C-C motif, ligand 15",,
36013058,36017972,"CCL23, SCYA23","Chemokine, C-C motif, ligand 23",,
36064272,36072032,"CCL18, SCYA18, PARC, AMAC1, DCCK1","Chemokine, C-C motif, ligand 18",,
36088256,36090143,"CCL3, SCYA3, MIP1A","Chemokine, C-C motif, ligand 3","{HIV infection, resistance to}, 609423 (2)",
36103827,36105614,"CCL4, SCYA4, ACT2, MIP1B, AT744.1","Chemokine, C-C motif, ligand 4",,
36165683,36176636,"TBC1D3B, PRC17","TBC1 domain family, member 3B",,
36194869,36196758,CCL3L3,"Chemokine, CC motif, ligand 3-like 3",,
36211063,36212873,CCL4L2,"Chemokine, CC motif, ligand 4-like 2",,
36315397,36334759,TBC1D3G,"TBC1 domain family, member 3G",,
36377531,36388453,TBC1D3H,"TBC1 domain family, member 3H",,
36428612,36439521,TBC1D3F,"TBC1 domain family, member 3F",,
36486681,36499312,"ZNHIT3, TRIP3, PEHO",Zinc finger HIT domain-containing protein 3,"PEHO syndrome, 260565 (3), Autosomal recessive",AR
36495636,36544815,"MYO19, MYOHD1",Myosin XIX,,
36534987,36539303,"PIGW, HPMRS5","Phosphatidylinositol glycan, class W","Glycosylphosphatidylinositol biosynthesis defect 11, 616025 (3), Autosomal recessive",AR
36544919,36589848,"GGNBP2, DIF3, LCRG1, LZK1",Gametogenetin-binding protein 2,,
36591879,36600804,"DHRS11, SDR24C1","Short-chain dehydrogenase reductase family, member 11",,
36601583,36634698,MRM1,Mitochondrial ribosomal RNA methyltransferase 1,,
36936785,36944612,"LHX1, LIM1",LIM/homeodomain protein LHX1,,
36948954,37056871,"AATF, CHE1",Apoptosis-antagonizing transcription factor,,
37084992,37406836,"ACACA, ACAC, ACC1, ACACAD","Acetyl-Coenzyme A carboxylase, alpha","Acetyl-CoA carboxylase deficiency, 613933 (1), Autosomal recessive",AR
37406886,37479725,"TADA2A, TADA2L, ADA2A",Transcriptional adaptor 2A,,
37488566,37513498,"DUSP14, MKP6",Dual-specificity phosphatase 14,,
37514807,37609418,"SYNRG, AP1GBP1, SYNG","Synergin, gamma",,
37609739,37643446,"DDX52, ROK1, HUSSY19",DExD-box helicase 52,,
37686431,37745059,"HNF1B, TCF2, HNF2, RCAD, T2D, ADTKD3",HNF1 homeobox B (transcription factor 2),"Type 2 diabetes mellitus, 125853 (3), Autosomal dominant; Renal cysts and diabetes syndrome, 137920 (3), Autosomal dominant; {Renal cell carcinoma}, 144700 (3)",AD
38002322,38014908,TBC1D3D,"TBC1 domain family, member 3D",,
38057693,38070301,TBC1D3C,"TBC1 domain family, member 3C",,
38124106,38138868,TBC1D3E,"TBC1 domain family, member 3E",,
38181659,38192555,"TBC1D3, PRC17, TBC1D3A",TBC1D3 gene,,
38297168,38323211,MRPL45,Mitochondrial ribosomal protein L45,,
38324571,38343956,"GPR179, GPR158L, GPR158L1, CSNB1E",G protein-coupled receptor 179,"Night blindness, congenital stationary (complete), 1E, autosomal recessive, 614565 (3), Autosomal recessive",AR
38351844,38405593,"SOCS7, NAP4",Suppressor of cytokine signaling 7,,
38419275,38512385,"ARHGAP23, KIAA1501",RHO GTPase-activating protein 23,,
38530031,38607025,"SRCIN1, SNIP, KIAA1684",Src kinase signaling inhibitor 1,,
38671703,38674957,"EPOP, C17orf96",Elongin BC- and polycomb repressive complex 2-associated protein,,
38705273,38729795,"MLLT6, AF17","Myeloid/lymphoid or mixed-lineage leukemia, translocated to, 6",,
38730341,38735605,"CISD3, MINER2",CDGSH iron sulfur domain protein 3,,
38733898,38749792,"PCGF2, RNF110, ZNF144, MEL18, TPFS",Polycomb group ring finger 2,"Turnpenny-Fry syndrome, 618371 (3), Autosomal dominant",AD
38752741,38764225,PSMB3,"Proteasome subunit, beta type, 3",,
38765691,38799556,"PIP4K2B, PIP5P4KB, PIP5K2B","Phosphatidylinositol 5-phosphate 4-kinase, type II, beta",,
38847860,38853721,RPL23,Ribosomal protein L23,,
38870058,38921770,"LASP1, MLN50",LIM and SH3 protein 1,,
38925614,38929381,LINC00672,Long intergenic noncoding RNA 672,,
38936432,38967403,FBXO47,F-box only protein 47,,
39063313,39152967,"PLXDC1, TEM7",Plexin domain containing 1,,
39173453,39197669,"CACNB1, CACNLB1, CCHLB1","Calcium channel, voltage-dependent, beta 1 subunit",,
39200283,39204732,RPL19,Ribosomal protein L19,,
39252663,39402556,"FBXL20, FBL20, FBL2, SCR",F-box and leucine-rich repeat protein 20,,
39404285,39451263,"MED1, PPARBP, PBP, TRAP220",Mediator complex subunit 1 (peroxisome proliferator-activated receptor-binding protein),,
39461486,39567559,"CDK12, CRKRS, CRK7, KIAA0904",Cyclin-dependent kinase 12,,
39603768,39607920,"NEUROD2, DEE72",Neurogenic differentiation 2,"Developmental and epileptic encephalopathy 72, 618374 (3), Autosomal dominant",AD
39626707,39636624,"PPP1R1B, DARPP32","Protein phosphatase 1, regulatory subunit 1B",,
39637144,39664201,"STARD3, MLN64",Start domain-containing protein 3,,
39665349,39666554,"TCAP, LGMDR7, CMH25",Telethonin,"Cardiomyopathy, hypertrophic, 25, 607487 (3), Autosomal dominant; Muscular dystrophy, limb-girdle, autosomal recessive 7, 601954 (3), Autosomal recessive",AD/AR
39668019,39670475,"PNMT, PENT",Phenylethanolamine N-methyltransferase,,
